Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
Wales,W92000004,Nation,2020-04-16,32,495
Scotland,S92000003,Nation,2020-04-16,84,699
Northern Ireland,N92000002,Nation,2020-04-16,6,140
United Kingdom,K02000001,UK,2020-04-16,1029,15956
England,E92000001,Nation,2020-04-16,907,14622
Wales,W92000004,Nation,2020-04-15,60,463
Scotland,S92000003,Nation,2020-04-15,40,615
Northern Ireland,N92000002,Nation,2020-04-15,10,134
United Kingdom,K02000001,UK,2020-04-15,842,14927
England,E92000001,Nation,2020-04-15,732,13715
Wales,W92000004,Nation,2020-04-14,19,403
Scotland,S92000003,Nation,2020-04-14,9,575
Northern Ireland,N92000002,Nation,2020-04-14,6,124
United Kingdom,K02000001,UK,2020-04-14,1047,14085
England,E92000001,Nation,2020-04-14,1013,12983
Wales,W92000004,Nation,2020-04-13,15,384
Scotland,S92000003,Nation,2020-04-13,24,566
Northern Ireland,N92000002,Nation,2020-04-13,11,118
United Kingdom,K02000001,UK,2020-04-13,744,13038
England,E92000001,Nation,2020-04-13,694,11970
Wales,W92000004,Nation,2020-04-12,18,369
Scotland,S92000003,Nation,2020-04-12,47,542
Northern Ireland,N92000002,Nation,2020-04-12,15,107
United Kingdom,K02000001,UK,2020-04-12,686,12294
England,E92000001,Nation,2020-04-12,606,11276
Wales,W92000004,Nation,2020-04-11,36,351
Scotland,S92000003,Nation,2020-04-11,48,495
Northern Ireland,N92000002,Nation,2020-04-11,10,92
United Kingdom,K02000001,UK,2020-04-11,840,11608
England,E92000001,Nation,2020-04-11,746,10670
Wales,W92000004,Nation,2020-04-10,29,315
Scotland,S92000003,Nation,2020-04-10,81,447
Northern Ireland,N92000002,Nation,2020-04-10,4,82
United Kingdom,K02000001,UK,2020-04-10,1152,10768
England,E92000001,Nation,2020-04-10,1038,9924
Wales,W92000004,Nation,2020-04-09,41,286
Scotland,S92000003,Nation,2020-04-09,70,366
Northern Ireland,N92000002,Nation,2020-04-09,5,78
United Kingdom,K02000001,UK,2020-04-09,1110,9616
England,E92000001,Nation,2020-04-09,994,8886
Wales,W92000004,Nation,2020-04-08,33,245
Scotland,S92000003,Nation,2020-04-08,74,296
Northern Ireland,N92000002,Nation,2020-04-08,3,73
United Kingdom,K02000001,UK,2020-04-08,1034,8506
England,E92000001,Nation,2020-04-08,924,7892
Wales,W92000004,Nation,2020-04-07,19,212
Scotland,S92000003,Nation,2020-04-07,2,222
Northern Ireland,N92000002,Nation,2020-04-07,7,70
United Kingdom,K02000001,UK,2020-04-07,1038,7472
England,E92000001,Nation,2020-04-07,1010,6968
Wales,W92000004,Nation,2020-04-06,27,193
Scotland,S92000003,Nation,2020-04-06,2,220
Northern Ireland,N92000002,Nation,2020-04-06,7,63
United Kingdom,K02000001,UK,2020-04-06,568,6434
England,E92000001,Nation,2020-04-06,532,5958
Wales,W92000004,Nation,2020-04-05,12,166
Scotland,S92000003,Nation,2020-04-05,46,218
Northern Ireland,N92000002,Nation,2020-04-05,8,56
United Kingdom,K02000001,UK,2020-04-05,644,5866
England,E92000001,Nation,2020-04-05,578,5426
Wales,W92000004,Nation,2020-04-04,13,154
Scotland,S92000003,Nation,2020-04-04,46,172
Northern Ireland,N92000002,Nation,2020-04-04,12,48
United Kingdom,K02000001,UK,2020-04-04,760,5222
England,E92000001,Nation,2020-04-04,689,4848
Wales,W92000004,Nation,2020-04-03,24,141
Scotland,S92000003,Nation,2020-04-03,29,126
Northern Ireland,N92000002,Nation,2020-04-03,6,36
United Kingdom,K02000001,UK,2020-04-03,714,4462
England,E92000001,Nation,2020-04-03,655,4159
Wales,W92000004,Nation,2020-04-02,19,117
Scotland,S92000003,Nation,2020-04-02,28,97
Northern Ireland,N92000002,Nation,2020-04-02,2,30
United Kingdom,K02000001,UK,2020-04-02,652,3748
England,E92000001,Nation,2020-04-02,603,3504
Wales,W92000004,Nation,2020-04-01,29,98
Scotland,S92000003,Nation,2020-04-01,22,69
Northern Ireland,N92000002,Nation,2020-04-01,6,28
United Kingdom,K02000001,UK,2020-04-01,670,3096
England,E92000001,Nation,2020-04-01,613,2901
Wales,W92000004,Nation,2020-03-31,7,69
Scotland,S92000003,Nation,2020-03-31,6,47
Northern Ireland,N92000002,Nation,2020-03-31,1,22
United Kingdom,K02000001,UK,2020-03-31,382,2426
England,E92000001,Nation,2020-03-31,368,2288
Wales,W92000004,Nation,2020-03-30,14,62
Scotland,S92000003,Nation,2020-03-30,1,41
Northern Ireland,N92000002,Nation,2020-03-30,6,21
United Kingdom,K02000001,UK,2020-03-30,374,2044
England,E92000001,Nation,2020-03-30,353,1920
Wales,W92000004,Nation,2020-03-29,10,48
Scotland,S92000003,Nation,2020-03-29,7,40
Northern Ireland,N92000002,Nation,2020-03-29,2,15
United Kingdom,K02000001,UK,2020-03-29,214,1670
England,E92000001,Nation,2020-03-29,195,1567
Wales,W92000004,Nation,2020-03-28,4,38
Scotland,S92000003,Nation,2020-03-28,8,33
Northern Ireland,N92000002,Nation,2020-03-28,3,13
United Kingdom,K02000001,UK,2020-03-28,294,1456
England,E92000001,Nation,2020-03-28,279,1372
Wales,W92000004,Nation,2020-03-27,6,34
Scotland,S92000003,Nation,2020-03-27,3,25
Northern Ireland,N92000002,Nation,2020-03-27,3,10
United Kingdom,K02000001,UK,2020-03-27,284,1162
England,E92000001,Nation,2020-03-27,272,1093
Wales,W92000004,Nation,2020-03-26,6,28
Scotland,S92000003,Nation,2020-03-26,6,22
Northern Ireland,N92000002,Nation,2020-03-26,2,7
United Kingdom,K02000001,UK,2020-03-26,183,878
England,E92000001,Nation,2020-03-26,169,821
Wales,W92000004,Nation,2020-03-25,5,22
Scotland,S92000003,Nation,2020-03-25,2,16
Northern Ireland,N92000002,Nation,2020-03-25,2,5
United Kingdom,K02000001,UK,2020-03-25,187,695
England,E92000001,Nation,2020-03-25,178,652
Wales,W92000004,Nation,2020-03-24,1,17
Scotland,S92000003,Nation,2020-03-24,4,14
Northern Ireland,N92000002,Nation,2020-03-24,1,3
United Kingdom,K02000001,UK,2020-03-24,149,508
England,E92000001,Nation,2020-03-24,143,474
Wales,W92000004,Nation,2020-03-23,4,16
Scotland,S92000003,Nation,2020-03-23,3,10
Northern Ireland,N92000002,Nation,2020-03-23,0,2
United Kingdom,K02000001,UK,2020-03-23,74,359
England,E92000001,Nation,2020-03-23,67,331
Wales,W92000004,Nation,2020-03-22,9,12
Scotland,S92000003,Nation,2020-03-22,1,7
Northern Ireland,N92000002,Nation,2020-03-22,1,2
United Kingdom,K02000001,UK,2020-03-22,35,285
England,E92000001,Nation,2020-03-22,24,264
Wales,W92000004,Nation,2020-03-21,2,3
Scotland,S92000003,Nation,2020-03-21,0,6
Northern Ireland,N92000002,Nation,2020-03-21,0,1
United Kingdom,K02000001,UK,2020-03-21,56,250
England,E92000001,Nation,2020-03-21,54,240
Wales,W92000004,Nation,2020-03-20,0,1
Scotland,S92000003,Nation,2020-03-20,3,6
Northern Ireland,N92000002,Nation,2020-03-20,,1
United Kingdom,K02000001,UK,2020-03-20,36,194
England,E92000001,Nation,2020-03-20,32,186
Wales,W92000004,Nation,2020-03-19,0,1
Scotland,S92000003,Nation,2020-03-19,1,3
United Kingdom,K02000001,UK,2020-03-19,43,158
England,E92000001,Nation,2020-03-19,42,154
Wales,W92000004,Nation,2020-03-18,0,1
Scotland,S92000003,Nation,2020-03-18,1,2
United Kingdom,K02000001,UK,2020-03-18,34,115
England,E92000001,Nation,2020-03-18,33,112
Wales,W92000004,Nation,2020-03-17,,1
Scotland,S92000003,Nation,2020-03-17,0,1
United Kingdom,K02000001,UK,2020-03-17,16,81
England,E92000001,Nation,2020-03-17,15,79
Scotland,S92000003,Nation,2020-03-16,0,1
United Kingdom,K02000001,UK,2020-03-16,22,65
England,E92000001,Nation,2020-03-16,22,64
Scotland,S92000003,Nation,2020-03-15,,1
United Kingdom,K02000001,UK,2020-03-15,15,43
England,E92000001,Nation,2020-03-15,14,42
United Kingdom,K02000001,UK,2020-03-14,18,28
England,E92000001,Nation,2020-03-14,18,28
United Kingdom,K02000001,UK,2020-03-13,1,10
England,E92000001,Nation,2020-03-13,1,10
United Kingdom,K02000001,UK,2020-03-12,2,9
England,E92000001,Nation,2020-03-12,2,9
United Kingdom,K02000001,UK,2020-03-11,0,7
England,E92000001,Nation,2020-03-11,0,7
United Kingdom,K02000001,UK,2020-03-10,4,7
England,E92000001,Nation,2020-03-10,4,7
United Kingdom,K02000001,UK,2020-03-09,1,3
England,E92000001,Nation,2020-03-09,1,3
United Kingdom,K02000001,UK,2020-03-08,0,2
England,E92000001,Nation,2020-03-08,0,2
United Kingdom,K02000001,UK,2020-03-07,1,2
England,E92000001,Nation,2020-03-07,1,2
United Kingdom,K02000001,UK,2020-03-06,1,1
England,E92000001,Nation,2020-03-06,,1
